Modèle,AIC,MAPE,RMSE,MSE,MAE
"(1, 0, 1)(0, 1, 0, 6)",-237.2601385569107,5.296269285725905,2182.091874114345,4761524.947075855,1643.4485370051757
"(1, 0, 1)(0, 1, 0, 12)",-272.9394031237074,5.649819851041357,2239.0525921368853,5013356.510354904,1754.2455908731445
"(1, 0, 1)(0, 1, 1, 6)",-275.7576156969873,5.007163725105871,2006.269217916341,4025116.174758646,1563.5007051106663
"(1, 0, 1)(0, 1, 1, 12)",-247.30355305631124,5.232573598367105,2084.5105896202385,4345184.398238915,1632.6901575447055
"(1, 0, 1)(0, 1, 2, 6)",-259.5737813571685,5.410038115371204,2118.7579071150635,4489135.068962604,1682.9440978319446
"(1, 0, 1)(1, 0, 0, 6)",-256.0833535471349,4.301443251329342,1709.5570004100448,2922585.13765099,1336.4805046614047
"(1, 0, 1)(1, 0, 0, 12)",-273.75932390403784,5.582456763414921,2193.525208402764,4811552.839898388,1734.6424506717092
"(1, 0, 1)(1, 0, 1, 6)",-294.77922797034336,5.09784866144172,2031.550758938353,4127198.486142998,1586.4256035554913
"(1, 0, 1)(1, 0, 1, 12)",-297.18675175998277,5.379354277210599,2122.6151164721646,4505494.932676141,1673.1923283651417
"(1, 0, 1)(1, 0, 2, 6)",-273.9689951764989,5.424052946289947,2116.994431281553,4481665.422077105,1684.675442098371
"(1, 0, 1)(1, 0, 2, 12)",-234.27382203778063,5.922576666504377,2261.3965643108872,5113914.421077086,1830.2636042891831
"(1, 0, 1)(1, 1, 0, 6)",-282.996152582554,5.403518126216019,2165.122759724702,4687756.564677909,1677.7653977606974
"(1, 0, 1)(1, 1, 0, 12)",-247.04076073700313,5.981437126769732,2315.914645853517,5363460.64687882,1858.6750417576707
"(1, 0, 1)(1, 1, 1, 6)",-285.14001993035447,5.364620443240932,2104.1514786290663,4427453.445016886,1669.9652229938088
"(1, 0, 1)(1, 1, 1, 12)",-243.9717641672758,5.697989949444048,2229.8588732123185,4972270.5944437105,1773.4191591740064
"(1, 0, 1)(1, 1, 2, 6)",-275.04691270721725,5.182495837816112,2074.649787988596,4304171.742801127,1616.0141170098018
"(1, 0, 1)(2, 0, 0, 6)",-281.53548279697577,5.446328703147649,2175.4783049755456,4732705.8554192735,1689.3401366055277
"(1, 0, 1)(2, 0, 0, 12)",-245.65934956036395,6.04385917911893,2334.1648270123014,5448325.439661368,1875.7165296784272
"(1, 0, 1)(2, 0, 1, 6)",-284.0732790331324,5.431476803546814,2132.3875730033274,4547076.761499021,1686.2062617705533
"(1, 0, 1)(2, 0, 1, 12)",-247.47045059358123,5.726444194920382,2236.5348907360776,5002088.317479838,1779.1511529111501
"(1, 0, 1)(2, 0, 2, 6)",-295.2047143651971,5.2296590732313994,2073.964084300486,4301327.022968353,1626.5488271845416
"(1, 0, 1)(2, 0, 2, 12)",-238.90829990090532,6.0112564719430095,2329.6279842367744,5427166.544939097,1865.9287771682025
"(1, 0, 1)(2, 1, 0, 6)",-263.7551642451564,5.349170019596912,2135.301735220241,4559513.500434573,1661.0533116982094
"(1, 0, 1)(2, 1, 0, 12)",-197.87097647853494,5.6793896868468,2221.0203669126167,4932931.470240654,1767.5447380142396
"(1, 0, 1)(2, 1, 1, 6)",-267.37957507509105,5.346046563778179,2099.1496104937605,4406429.087236106,1664.3165630668093
"(1, 0, 1)(2, 1, 1, 12)",-196.11027459175773,5.701115558778645,2226.3635277789194,4956694.557824196,1773.8731791701196
"(1, 0, 1)(2, 1, 2, 6)",-268.13022861606,5.217667246329541,2078.631510071198,4320708.954660869,1626.7661707980026
"(1, 0, 2)(0, 0, 0, 6)",-241.6867914223542,4.04530521329602,1608.795683717103,2588223.551946781,1258.7428355046075
"(1, 0, 2)(0, 0, 0, 12)",-241.6867914223542,4.04530521329602,1608.795683717103,2588223.551946781,1258.7428355046075
"(1, 0, 2)(0, 0, 1, 6)",-104.6546599461249,5.535298880025252,2249.5906116480646,5060657.920015113,1723.8133727841125
"(1, 0, 2)(0, 0, 1, 12)",-197.3742954834341,4.068122328406965,1612.2812054769072,2599450.6855340693,1265.3776041992485
"(1, 0, 2)(0, 0, 2, 6)",-32.4403272040906,11.073429167010369,4875.672398851375,23772181.340921123,3445.2309389615484
"(1, 0, 2)(0, 0, 2, 12)",2025.7813574987338,44.6749316170943,13949.272935247485,194582215.422028,13798.406552301625
"(1, 0, 2)(0, 1, 0, 6)",-231.89052908664783,5.294999312575984,2180.812197983237,4755941.842872477,1643.0302808457807
"(1, 0, 2)(0, 1, 0, 12)",-268.21041885162157,5.576748943672077,2211.75694826272,4891868.79818842,1731.4744027406769
"(1, 0, 2)(0, 1, 1, 6)",-269.6040042139174,4.988470984183391,2002.0952377281399,4008385.3409336973,1557.8471649778705
"(1, 0, 2)(0, 1, 1, 12)",-241.6629164427854,5.252705765653192,2087.764114650368,4358758.998421835,1638.6536836331813
"(1, 0, 2)(0, 1, 2, 6)",-251.56636001261234,5.313726310573729,2085.1070976377855,4347671.60861947,1655.5662006985249
"(1, 0, 2)(1, 0, 0, 6)",-254.43712511838606,4.3266341009465155,1717.6315015512198,2950257.9751210976,1343.984551888709
"(1, 0, 2)(1, 0, 0, 12)",-274.12204618764326,5.622436391001294,2230.248230403698,4974007.169218827,1744.3949403665517
"(1, 0, 2)(1, 0, 1, 6)",-287.4987599819863,5.122003802067085,2041.8587785270358,4169187.2714479184,1593.6858795374026
"(1, 0, 2)(1, 0, 1, 12)",-288.74884655743864,5.375915995146821,2118.4247405594447,4487723.38141435,1672.2574145891572
"(1, 0, 2)(1, 0, 2, 6)",-267.2607336294696,5.450080581411953,2126.2090628008964,4520764.978736667,1692.4779914263588
"(1, 0, 2)(1, 0, 2, 12)",-233.68329506687067,5.971802362654556,2303.7613895263808,5307316.539872521,1852.704678850531
"(1, 0, 2)(1, 1, 0, 6)",-281.90615994452753,5.381381878037492,2152.041778782925,4631283.817627177,1670.6512168180393
"(1, 0, 2)(1, 1, 0, 12)",-245.97974502661967,5.973281950529373,2313.703585917239,5353224.28348629,1856.1246068724463
"(1, 0, 2)(1, 1, 1, 6)",-280.44565466976604,5.346986194205277,2098.685659975642,4404481.4993873965,1664.4989493979404
"(1, 0, 2)(1, 1, 1, 12)",-239.20554655595575,5.694814947843403,2227.3213656823414,4960960.466025051,1772.3339761096793
"(1, 0, 2)(1, 1, 2, 6)",-267.68625722223106,5.178311566594806,2072.452005193443,4295057.313830322,1614.7791279018356
"(1, 0, 2)(2, 0, 0, 6)",-279.70647514637216,5.4504821053954915,2173.8300112335082,4725536.917739475,1690.714492928978
"(1, 0, 2)(2, 0, 0, 12)",-243.36360322743872,6.0410464531630765,2335.2816836686775,5453540.542078412,1875.1398937960103
"(1, 0, 2)(2, 0, 1, 6)",-283.306412521238,5.430039861054422,2131.412520430332,4542919.332247179,1686.439952749013
"(1, 0, 2)(2, 0, 1, 12)",-245.65322650477128,5.742288367430995,2243.7659052586323,5034485.43760109,1784.2405924925615
"(1, 0, 2)(2, 0, 2, 6)",-284.25867229499323,5.243371001680305,2072.2671737508467,4294291.239405323,1632.762422395262
"(1, 0, 2)(2, 0, 2, 12)",-232.51640064462975,6.015040626718357,2330.7921610292233,5432592.097915277,1866.9143396504664
"(1, 0, 2)(2, 1, 0, 6)",-262.4118738783286,5.319702971350046,2120.8690390243473,4498085.480692058,1651.7738787465034
"(1, 0, 2)(2, 1, 0, 12)",-196.00515945768484,5.689099676954333,2224.895301758426,4950159.103786717,1770.4863925902966
"(1, 0, 2)(2, 1, 1, 6)",-262.6701529764029,5.374991223610856,2118.821462638008,4489404.390535467,1670.5943756067068
"(1, 0, 2)(2, 1, 1, 12)",-194.1193908890698,5.702204258021512,2226.6523160566085,4957980.536600258,1774.1840859152953
"(1, 0, 2)(2, 1, 2, 6)",-265.2244314697934,5.172329742533637,2068.726752128913,4279630.374973841,1613.2267520905464
"(1, 1, 0)(0, 0, 0, 6)",-218.51761107053167,3.8125613383829546,1581.7227299683668,2501846.7944985833,1190.804221499463
"(1, 1, 0)(0, 0, 0, 12)",-218.51761107053167,3.8125613383829546,1581.7227299683668,2501846.7944985833,1190.804221499463
"(1, 1, 0)(0, 0, 1, 6)",-208.4758912109267,3.8867292796521036,1599.5191595843119,2558461.5418773033,1213.292394309844
"(1, 1, 0)(0, 0, 1, 12)",-205.35589786625795,3.914401326258528,1690.9687722764647,2859375.388814174,1242.7776946645515
"(1, 1, 0)(0, 0, 2, 6)",-204.33250995192117,3.9286517641642824,1643.1847537860003,2700056.1350747584,1234.9688466437442
"(1, 1, 0)(0, 0, 2, 12)",2363.7639473217687,215.66878517136647,111544.6333971352,12442205239.70129,66932.99157360036
"(1, 1, 0)(0, 1, 0, 6)",-205.13263752764462,5.099739007642959,2133.295484219473,4550949.622991196,1589.1415811109114
"(1, 1, 0)(0, 1, 0, 12)",-228.88117630899848,5.543103705163289,2189.5708186721085,4794220.369980447,1749.2927722825168
"(1, 1, 0)(0, 1, 1, 6)",-242.98911707369277,5.053575926627327,2027.0328635230026,4108862.2298022634,1577.7231046976085
"(1, 1, 0)(0, 1, 1, 12)",-219.33404206270902,5.163522312480683,2080.6698998670727,4329187.232212854,1619.5955611510228
"(1, 1, 0)(0, 1, 2, 6)",-229.22226954070544,5.239333874465965,2069.6296938788596,4283367.069785102,1639.7104613262647
"(1, 1, 0)(1, 0, 0, 6)",-222.4239467184668,4.066464778161983,1681.7643992211883,2828331.4944878044,1270.6345375336755
"(1, 1, 0)(1, 0, 0, 12)",-235.18769826693688,4.821066031535813,1933.9085025428888,3740002.0962076783,1521.7521612702242
"(1, 1, 0)(1, 0, 1, 6)",-258.80118345576807,5.013068269238643,2011.242368756152,4045095.865879857,1564.9488740135446
"(1, 1, 0)(1, 0, 1, 12)",-257.29463361357733,5.13375552136353,2070.479608548263,4286885.809414168,1610.612898526862
"(1, 1, 0)(1, 0, 2, 6)",-241.97460948634972,5.10396534871406,2016.1084777503,4064693.3940566313,1598.6052738454096
"(1, 1, 0)(1, 0, 2, 12)",2463.370174435657,15.02448312969349,5050.282296186113,25505351.27117088,4599.525976438282
"(1, 1, 0)(1, 1, 0, 6)",-236.58771259200455,5.239322790983438,2097.3268784831234,4398780.035207762,1652.2981179870064
"(1, 1, 0)(1, 1, 0, 12)",-211.45060230586566,5.903969927264882,2294.557830717749,5264995.638508141,1839.4533235833385
"(1, 1, 0)(1, 1, 1, 6)",-248.51586092974713,5.214072133737454,2060.7934056364447,4246869.460714657,1632.589958923595
"(1, 1, 0)(1, 1, 1, 12)",-214.15717877918988,5.688680676381478,2230.0649228858942,4973189.56028607,1771.1474576019248
"(1, 1, 0)(1, 1, 2, 6)",-242.07949468304463,5.063208348675324,2048.0908118790103,4194675.973703223,1589.1348124787937
"(1, 1, 0)(2, 0, 0, 6)",-237.42856668741177,4.84774388744851,1948.7782228782712,3797736.561964593,1529.0182908873746
"(1, 1, 0)(2, 0, 0, 12)",-210.51590629465773,5.616896805048811,2185.6182804153536,4776927.267685767,1751.2678791567794
